lat,lon
48.302,8.597
48.959,8.295
51.007,14.581
49.893,10.893
49.557,11.492
52.408,10.938
51.395,8.568
48.126,8.707
48.134,11.363
51.018,13.700
49.157,8.985
48.911,8.251
53.588,6.668
48.844,9.721
48.251,11.650
49.895,10.890
48.968,8.305
50.716,6.914
51.158,6.725
54.393,10.372
50.963,13.642
49.442,10.958
53.729,7.372
48.958,8.467
52.422,10.787
54.781,9.434
51.327,6.971
51.327,6.971
48.045,11.966
50.072,10.961
49.825,8.702
50.700,12.553
48.575,13.468
48.575,13.469
51.105,8.075
48.615,13.481
49.509,11.429
48.642,8.902
48.715,9.530
51.279,9.061
48.393,10.835
54.616,8.963
48.411,11.793
53.027,8.750
52.140,10.969
49.062,8.801
51.182,7.185
49.791,8.677
49.398,10.885
52.691,7.292
50.032,10.507
53.187,8.005
54.153,11.748
53.705,7.144
50.874,8.026
49.779,8.376
48.554,8.966
50.546,12.792
50.613,10.697
49.175,8.796
53.793,12.176
52.170,8.864
48.561,9.059
52.986,9.581
49.668,8.746
52.379,8.970
53.141,11.248
53.510,11.074
50.827,6.905
50.237,8.403
50.661,6.893
50.676,13.467
53.653,10.282
47.596,9.599
51.586,14.010
52.074,8.417
50.681,7.154
52.463,13.386
51.542,14.535
51.910,14.120
50.106,8.761
49.698,6.573
50.106,11.606
49.338,10.789
47.775,9.028
47.797,11.199
51.257,12.142
49.912,10.803
50.695,12.425
52.381,10.541
48.826,9.067
48.727,8.014
50.897,7.873
49.159,9.326
50.610,10.693
50.975,10.321
51.529,9.938
51.529,9.937
51.026,14.215
48.726,9.145
47.715,9.066
49.619,9.180
51.976,9.513
50.817,6.500
48.500,9.176
52.097,12.871
50.125,11.251
49.866,10.226
49.912,10.832
53.867,10.685
49.976,11.034
47.789,11.831
52.679,13.588
50.166,11.169
49.192,9.225
49.191,9.225
50.475,12.371
48.932,8.957
49.570,10.882
53.078,7.394
48.541,9.013
49.911,10.828
52.567,13.102
50.093,9.649
48.527,8.978
48.689,9.169
50.036,11.350
47.880,10.624
48.536,8.946
52.668,13.380
52.312,12.930
52.251,8.480
48.663,9.648
47.737,8.969
48.566,7.870
51.822,8.657
48.696,8.940
51.126,7.901
49.972,8.796
51.128,14.179
51.151,8.281
49.205,8.989
48.699,10.242
50.959,7.991
50.664,13.420
52.575,6.950
51.444,8.350
48.390,9.180
50.899,13.436
48.866,9.036
51.934,6.809
52.688,13.283
51.230,7.068
48.499,12.062
47.909,10.573
49.448,8.614
49.505,11.507
51.215,13.726
49.932,10.816
49.985,10.851
50.965,13.715
48.078,11.969
48.424,11.523
52.313,13.029
52.313,13.030
48.811,11.500
52.365,7.471
51.519,14.005
51.844,7.829
48.956,10.911
48.626,7.921
51.431,12.683
51.522,12.333
51.334,6.559
48.594,9.271
51.501,6.889
49.513,8.518
51.575,6.512
48.834,9.264
49.755,8.634
48.740,9.309
53.367,7.207
49.548,12.001
50.146,11.063
49.905,8.451
53.499,9.997
48.740,8.130
51.456,13.867
49.244,9.164
48.333,7.824
51.129,12.807
